t,curve_x,curve_y,focal_x,focal_y
-3.13129,-0.999947,-0.0185476,2.23964,-1.35933e-06
-3.13126,-0.999947,-0.0186042,2.23964,-1.37786e-06
-3.13123,-0.999946,-0.0186607,2.23964,-1.37578e-06
-3.13119,-0.999946,-0.0187173,2.23964,-1.3945e-06
-3.13116,-0.999946,-0.0187738,2.23964,-1.3925e-06
-3.13113,-0.999945,-0.0188304,2.23963,-1.43233e-06
-3.1311,-0.999945,-0.0188869,2.23963,-1.43045e-06
-3.13107,-0.999945,-0.0189435,2.23962,-1.47068e-06
-3.13104,-0.999944,-0.019,2.23963,-1.44786e-06
-3.13101,-0.999944,-0.0190565,2.23962,-1.50957e-06
-3.13097,-0.999944,-0.0191131,2.23962,-1.48678e-06
-3.13094,-0.999943,-0.0191696,2.23962,-1.50644e-06
-3.13091,-0.999943,-0.0192262,2.23962,-1.52623e-06
-3.13088,-0.999943,-0.0192827,2.23961,-1.56755e-06
-3.13085,-0.999942,-0.0193393,2.23961,-1.54475e-06
-3.13082,-0.999942,-0.0193958,2.23961,-1.54336e-06
-3.13079,-0.999942,-0.0194524,2.23961,-1.56357e-06
-3.13075,-0.999941,-0.0195089,2.23961,-1.58391e-06
-3.13072,-0.999941,-0.0195655,2.2396,-1.60441e-06
-3.13069,-0.999941,-0.019622,2.2396,-1.60325e-06
-3.13066,-0.99994,-0.0196785,2.2396,-1.6021e-06
-3.13063,-0.99994,-0.0197351,2.2396,-1.64479e-06
-3.1306,-0.99994,-0.0197916,2.2396,-1.64379e-06
-3.13057,-0.999939,-0.0198482,2.23959,-1.66484e-06
-3.13053,-0.999939,-0.0199047,2.23959,-1.70812e-06
-3.1305,-0.999939,-0.0199613,2.23959,-1.68523e-06
-3.13047,-0.999938,-0.0200178,2.23959,-1.70662e-06
-3.13044,-0.999938,-0.0200744,2.23959,-1.70591e-06
-3.13041,-0.999937,-0.0201309,2.23958,-1.72753e-06
-3.13038,-0.999937,-0.0201875,2.23957,-1.77171e-06
-3.13035,-0.999937,-0.020244,2.23957,-1.77122e-06
-3.13031,-0.999936,-0.0203005,2.23957,-1.77075e-06
-3.13028,-0.999936,-0.0203571,2.23957,-1.79288e-06
-3.13025,-0.999936,-0.0204136,2.23956,-1.83784e-06
-3.13022,-0.999935,-0.0204702,2.23957,-1.81489e-06
-3.13019,-0.999935,-0.0205267,2.23956,-1.88297e-06
-3.13016,-0.999935,-0.0205833,2.23956,-1.88289e-06
-3.13013,-0.999934,-0.0206398,2.23956,-1.85993e-06
-3.13009,-0.999934,-0.0206964,2.23955,-1.90578e-06
-3.13006,-0.999934,-0.0207529,2.23955,-1.90584e-06
-3.13003,-0.999933,-0.0208094,2.23955,-1.95211e-06
-3.13,-0.999933,-0.020866,2.23955,-1.92918e-06
-3.12997,-0.999932,-0.0209225,2.23954,-1.97581e-06
-3.12994,-0.999932,-0.0209791,2.23955,-1.95283e-06
-3.12991,-0.999932,-0.0210356,2.23954,-1.97648e-06
-3.12987,-0.999931,-0.0210922,2.23954,-2.02368e-06
-3.12984,-0.999931,-0.0211487,2.23953,-2.0477e-06
-3.12981,-0.999931,-0.0212053,2.23953,-2.04829e-06
-3.12978,-0.99993,-0.0212618,2.23953,-2.07253e-06
-3.12975,-0.99993,-0.0213183,2.23953,-2.04958e-06
-3.12972,-0.999929,-0.0213749,2.23953,-2.07401e-06
-3.12969,-0.999929,-0.0214314,2.23952,-2.12235e-06
-3.12965,-0.999929,-0.021488,2.23952,-2.14712e-06
-3.12962,-0.999928,-0.0215445,2.23952,-2.12422e-06
-3.12959,-0.999928,-0.0216011,2.23951,-2.17314e-06
-3.12956,-0.999928,-0.0216576,2.23952,-2.15023e-06
-3.12953,-0.999927,-0.0217142,2.23951,-2.19953e-06
-3.1295,-0.999927,-0.0217707,2.23951,-2.20078e-06
-3.12947,-0.999926,-0.0218273,2.2395,-2.22626e-06
-3.12943,-0.999926,-0.0218838,2.2395,-2.22763e-06
-3.1294,-0.999926,-0.0219403,2.2395,-2.22901e-06
-3.12937,-0.999925,-0.0219969,2.23949,-2.3037e-06
-3.12934,-0.999925,-0.0220534,2.2395,-2.28085e-06
-3.12931,-0.999925,-0.02211,2.23949,-2.33156e-06
-3.12928,-0.999924,-0.0221665,2.23949,-2.35792e-06
-3.12925,-0.999924,-0.0222231,2.23949,-2.33512e-06
-3.12921,-0.999923,-0.0222796,2.23948,-2.36166e-06
-3.12918,-0.999923,-0.0223362,2.23949,-2.33879e-06
-3.12915,-0.999923,-0.0223927,2.23948,-2.39039e-06
-3.12912,-0.999922,-0.0224492,2.23948,-2.39243e-06
-3.12909,-0.999922,-0.0225058,2.23948,-2.39452e-06
-3.12906,-0.999921,-0.0225623,2.23947,-2.44672e-06
-3.12903,-0.999921,-0.0226189,2.23947,-2.4741e-06
-3.12899,-0.999921,-0.0226754,2.23947,-2.47646e-06
-3.12896,-0.99992,-0.022732,2.23946,-2.5041e-06
-3.12893,-0.99992,-0.0227885,2.23946,-2.53189e-06
-3.1289,-0.999919,-0.022845,2.23946,-2.53449e-06
-3.12887,-0.999919,-0.0229016,2.23946,-2.53712e-06
-3.12884,-0.999919,-0.0229581,2.23945,-2.59077e-06
-3.12881,-0.999918,-0.0230147,2.23945,-2.59359e-06
-3.12877,-0.999918,-0.0230712,2.23945,-2.62208e-06
